id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,24,UNIT,2020
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT KHUSUS,5,UNIT,2020
273,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2020
274,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2020
275,32,JAWA BARAT,3201,KABUPATEN BOGOR,POSYANDU,5020,UNIT,2020
276,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,8,UNIT,2020
277,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2020
278,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2020
279,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2020
280,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POSYANDU,3510,UNIT,2020
281,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,5,UNIT,2020
282,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT KHUSUS,0,UNIT,2020
283,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT BERSALIN,0,UNIT,2020
284,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,47,UNIT,2020
285,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POSYANDU,2922,UNIT,2020
286,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT UMUM,10,UNIT,2020
287,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT KHUSUS,0,UNIT,2020
288,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2020
289,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2020
290,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POSYANDU,4308,UNIT,2020
291,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT UMUM,6,UNIT,2020
292,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT KHUSUS,0,UNIT,2020
293,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT BERSALIN,0,UNIT,2020
294,32,JAWA BARAT,3205,KABUPATEN GARUT,PUSKESMAS,67,UNIT,2020
295,32,JAWA BARAT,3205,KABUPATEN GARUT,POSYANDU,4221,UNIT,2020
296,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT UMUM,1,UNIT,2020
297,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT KHUSUS,1,UNIT,2020
298,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT BERSALIN,0,UNIT,2020
299,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUSKESMAS,40,UNIT,2020
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,POSYANDU,2402,UNIT,2020
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT UMUM,4,UNIT,2020
