id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,265,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,120,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,78,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,80,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,127,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,76,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,122,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,55,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,71,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,84,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,41,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,95,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,35,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,166,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,35,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,100,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,82,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,22,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,18,ORANG,2020
