id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,53.36,PERSEN,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62.88,PERSEN,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,51.4,PERSEN,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67.27,PERSEN,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,46.42,PERSEN,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,51.45,PERSEN,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69.2,PERSEN,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,83.92,PERSEN,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,83.23,PERSEN,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,79.44,PERSEN,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,92.43,PERSEN,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,88.86,PERSEN,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,81.14,PERSEN,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,83.21,PERSEN,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78.14,PERSEN,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,88.82,PERSEN,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.47,PERSEN,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,87.58,PERSEN,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,69.86,PERSEN,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,34.93,PERSEN,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,51.39,PERSEN,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,89.01,PERSEN,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,93.9,PERSEN,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,97.48,PERSEN,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,70.05,PERSEN,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49.29,PERSEN,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,89.33,PERSEN,2020
