id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,417,ORANG,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,110,ORANG,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,189,ORANG,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,176,ORANG,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,5,ORANG,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,95,ORANG,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62,ORANG,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,48,ORANG,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,251,ORANG,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,87,ORANG,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,100,ORANG,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,275,ORANG,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,247,ORANG,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,234,ORANG,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,315,ORANG,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,134,ORANG,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67,ORANG,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16,ORANG,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,364,ORANG,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,41,ORANG,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,82,ORANG,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,342,ORANG,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,322,ORANG,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,220,ORANG,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,361,ORANG,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,130,ORANG,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,68,ORANG,2020
