id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,2002,JIWA PER KILOMETER PERSEGI,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,657,JIWA PER KILOMETER PERSEGI,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,645,JIWA PER KILOMETER PERSEGI,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2050,JIWA PER KILOMETER PERSEGI,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,841,JIWA PER KILOMETER PERSEGI,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,731,JIWA PER KILOMETER PERSEGI,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,869,JIWA PER KILOMETER PERSEGI,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1051,JIWA PER KILOMETER PERSEGI,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2306,JIWA PER KILOMETER PERSEGI,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1084,JIWA PER KILOMETER PERSEGI,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,759,JIWA PER KILOMETER PERSEGI,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,899,JIWA PER KILOMETER PERSEGI,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,842,JIWA PER KILOMETER PERSEGI,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1208,JIWA PER KILOMETER PERSEGI,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1476,JIWA PER KILOMETER PERSEGI,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2541,JIWA PER KILOMETER PERSEGI,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1370,JIWA PER KILOMETER PERSEGI,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,419,JIWA PER KILOMETER PERSEGI,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,8802,JIWA PER KILOMETER PERSEGI,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,7178,JIWA PER KILOMETER PERSEGI,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,14577,JIWA PER KILOMETER PERSEGI,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,8921,JIWA PER KILOMETER PERSEGI,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,12311,JIWA PER KILOMETER PERSEGI,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,10267,JIWA PER KILOMETER PERSEGI,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,14474,JIWA PER KILOMETER PERSEGI,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4173,JIWA PER KILOMETER PERSEGI,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,1771,JIWA PER KILOMETER PERSEGI,2020
