id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1861,JIWA PER KILOMETER PERSEGI,2022
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,674,JIWA PER KILOMETER PERSEGI,2022
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,700,JIWA PER KILOMETER PERSEGI,2022
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2136,JIWA PER KILOMETER PERSEGI,2022
113,32,JAWA BARAT,3205,KABUPATEN GARUT,847,JIWA PER KILOMETER PERSEGI,2022
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,705,JIWA PER KILOMETER PERSEGI,2022
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,782,JIWA PER KILOMETER PERSEGI,2022
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1003,JIWA PER KILOMETER PERSEGI,2022
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2150,JIWA PER KILOMETER PERSEGI,2022
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1004,JIWA PER KILOMETER PERSEGI,2022
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,745,JIWA PER KILOMETER PERSEGI,2022
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,902,JIWA PER KILOMETER PERSEGI,2022
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,750,JIWA PER KILOMETER PERSEGI,2022
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1036,JIWA PER KILOMETER PERSEGI,2022
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1309,JIWA PER KILOMETER PERSEGI,2022
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2570,JIWA PER KILOMETER PERSEGI,2022
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1439,JIWA PER KILOMETER PERSEGI,2022
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,383,JIWA PER KILOMETER PERSEGI,2022
127,32,JAWA BARAT,3271,KOTA BOGOR,9550,JIWA PER KILOMETER PERSEGI,2022
128,32,JAWA BARAT,3272,KOTA SUKABUMI,7377,JIWA PER KILOMETER PERSEGI,2022
129,32,JAWA BARAT,3273,KOTA BANDUNG,14776,JIWA PER KILOMETER PERSEGI,2022
130,32,JAWA BARAT,3274,KOTA CIREBON,8646,JIWA PER KILOMETER PERSEGI,2022
131,32,JAWA BARAT,3275,KOTA BEKASI,12159,JIWA PER KILOMETER PERSEGI,2022
132,32,JAWA BARAT,3276,KOTA DEPOK,10622,JIWA PER KILOMETER PERSEGI,2022
133,32,JAWA BARAT,3277,KOTA CIMAHI,13557,JIWA PER KILOMETER PERSEGI,2022
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3988,JIWA PER KILOMETER PERSEGI,2022
135,32,JAWA BARAT,3279,KOTA BANJAR,1576,JIWA PER KILOMETER PERSEGI,2022
