id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,49.98,PERSEN,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42.48,PERSEN,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36.57,PERSEN,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,52.58,PERSEN,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,34.24,PERSEN,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40.54,PERSEN,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,59.03,PERSEN,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60.83,PERSEN,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,75.37,PERSEN,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,72.32,PERSEN,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66.75,PERSEN,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,74.49,PERSEN,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,68.28,PERSEN,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,66.24,PERSEN,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.11,PERSEN,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,60.85,PERSEN,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35.52,PERSEN,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56.13,PERSEN,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,45.75,PERSEN,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,35.15,PERSEN,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,36.75,PERSEN,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,75.3,PERSEN,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,54.36,PERSEN,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,47.34,PERSEN,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,53.77,PERSEN,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45.4,PERSEN,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,75.1,PERSEN,2022
