id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,261,ORANG,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55,ORANG,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55,ORANG,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,147,ORANG,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,152,ORANG,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,117,ORANG,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,138,ORANG,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,119,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,132,ORANG,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,119,ORANG,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,103,ORANG,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,113,ORANG,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,66,ORANG,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71,ORANG,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,101,ORANG,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,84,ORANG,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,74,ORANG,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,103,ORANG,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,92,ORANG,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,35,ORANG,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,228,ORANG,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,57,ORANG,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,141,ORANG,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,179,ORANG,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,58,ORANG,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,88,ORANG,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,49,ORANG,2022
