id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
541,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,26,UNIT,2022
542,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT KHUSUS,3,UNIT,2022
543,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2022
544,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2022
545,32,JAWA BARAT,3201,KABUPATEN BOGOR,POSYANDU,5135,UNIT,2022
546,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,9,UNIT,2022
547,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2022
548,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2022
549,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2022
550,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POSYANDU,3514,UNIT,2022
551,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,5,UNIT,2022
552,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT KHUSUS,0,UNIT,2022
553,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT BERSALIN,0,UNIT,2022
554,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,47,UNIT,2022
555,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POSYANDU,2929,UNIT,2022
556,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT UMUM,11,UNIT,2022
557,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT KHUSUS,0,UNIT,2022
558,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2022
559,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2022
560,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POSYANDU,4349,UNIT,2022
561,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT UMUM,7,UNIT,2022
562,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT KHUSUS,0,UNIT,2022
563,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT BERSALIN,0,UNIT,2022
564,32,JAWA BARAT,3205,KABUPATEN GARUT,PUSKESMAS,67,UNIT,2022
565,32,JAWA BARAT,3205,KABUPATEN GARUT,POSYANDU,4304,UNIT,2022
