id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.2,POIN,2022
326,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67.64,POIN,2022
327,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65.94,POIN,2022
328,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.16,POIN,2022
329,32,JAWA BARAT,3205,KABUPATEN GARUT,67.41,POIN,2022
330,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,66.84,POIN,2022
331,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.45,POIN,2022
332,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,70.16,POIN,2022
333,32,JAWA BARAT,3209,KABUPATEN CIREBON,70.06,POIN,2022
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,68.56,POIN,2022
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.69,POIN,2022
336,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68.55,POIN,2022
337,32,JAWA BARAT,3213,KABUPATEN SUBANG,69.87,POIN,2022
338,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71.56,POIN,2022
339,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.74,POIN,2022
340,32,JAWA BARAT,3216,KABUPATEN BEKASI,75.22,POIN,2022
341,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69.04,POIN,2022
342,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.03,POIN,2022
343,32,JAWA BARAT,3271,KOTA BOGOR,77.17,POIN,2022
344,32,JAWA BARAT,3272,KOTA SUKABUMI,75.4,POIN,2022
345,32,JAWA BARAT,3273,KOTA BANDUNG,82.5,POIN,2022
346,32,JAWA BARAT,3274,KOTA CIREBON,75.89,POIN,2022
347,32,JAWA BARAT,3275,KOTA BEKASI,82.46,POIN,2022
348,32,JAWA BARAT,3276,KOTA DEPOK,81.86,POIN,2022
349,32,JAWA BARAT,3277,KOTA CIMAHI,78.77,POIN,2022
350,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73.83,POIN,2022
351,32,JAWA BARAT,3279,KOTA BANJAR,72.55,POIN,2022
