id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,92.28,PERSEN,2022
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,85.7,PERSEN,2022
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,80.79,PERSEN,2022
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,93.79,PERSEN,2022
113,32,JAWA BARAT,3205,KABUPATEN GARUT,78.15,PERSEN,2022
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,89.35,PERSEN,2022
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,93.8,PERSEN,2022
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,95.51,PERSEN,2022
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,94.99,PERSEN,2022
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,95.7,PERSEN,2022
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,95.84,PERSEN,2022
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,95.25,PERSEN,2022
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,98.01,PERSEN,2022
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,92.59,PERSEN,2022
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,98.19,PERSEN,2022
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,94.86,PERSEN,2022
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,86.6,PERSEN,2022
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,84.14,PERSEN,2022
127,32,JAWA BARAT,3271,KOTA BOGOR,98.73,PERSEN,2022
128,32,JAWA BARAT,3272,KOTA SUKABUMI,97.82,PERSEN,2022
129,32,JAWA BARAT,3273,KOTA BANDUNG,99.03,PERSEN,2022
130,32,JAWA BARAT,3274,KOTA CIREBON,99.05,PERSEN,2022
131,32,JAWA BARAT,3275,KOTA BEKASI,98.28,PERSEN,2022
132,32,JAWA BARAT,3276,KOTA DEPOK,99.44,PERSEN,2022
133,32,JAWA BARAT,3277,KOTA CIMAHI,97.81,PERSEN,2022
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96.81,PERSEN,2022
135,32,JAWA BARAT,3279,KOTA BANJAR,97.67,PERSEN,2022
