id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,5556.31,RIBU ORANG,2022
326,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2775.31,RIBU ORANG,2022
327,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2529.81,RIBU ORANG,2022
328,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3687.25,RIBU ORANG,2022
329,32,JAWA BARAT,3205,KABUPATEN GARUT,2648.95,RIBU ORANG,2022
330,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1892.22,RIBU ORANG,2022
331,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1243.32,RIBU ORANG,2022
332,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1189.01,RIBU ORANG,2022
333,32,JAWA BARAT,3209,KABUPATEN CIREBON,2331.36,RIBU ORANG,2022
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1328.01,RIBU ORANG,2022
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1168.84,RIBU ORANG,2022
336,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1873.4,RIBU ORANG,2022
337,32,JAWA BARAT,3213,KABUPATEN SUBANG,1635.56,RIBU ORANG,2022
338,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1023.18,RIBU ORANG,2022
339,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2496.19,RIBU ORANG,2022
340,32,JAWA BARAT,3216,KABUPATEN BEKASI,3193.84,RIBU ORANG,2022
341,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1834.23,RIBU ORANG,2022
342,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,428.6,RIBU ORANG,2022
343,32,JAWA BARAT,3271,KOTA BOGOR,1060.94,RIBU ORANG,2022
344,32,JAWA BARAT,3272,KOTA SUKABUMI,355.42,RIBU ORANG,2022
345,32,JAWA BARAT,3273,KOTA BANDUNG,2484.15,RIBU ORANG,2022
346,32,JAWA BARAT,3274,KOTA CIREBON,338.94,RIBU ORANG,2022
347,32,JAWA BARAT,3275,KOTA BEKASI,2598.07,RIBU ORANG,2022
348,32,JAWA BARAT,3276,KOTA DEPOK,2113.62,RIBU ORANG,2022
349,32,JAWA BARAT,3277,KOTA CIMAHI,582.65,RIBU ORANG,2022
350,32,JAWA BARAT,3278,KOTA TASIKMALAYA,732.48,RIBU ORANG,2022
351,32,JAWA BARAT,3279,KOTA BANJAR,205.14,RIBU ORANG,2022
