id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
676,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,27,UNIT,2023
677,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT KHUSUS,4,UNIT,2023
678,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2023
679,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2023
680,32,JAWA BARAT,3201,KABUPATEN BOGOR,POSYANDU,5141,UNIT,2023
681,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,9,UNIT,2023
682,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2023
683,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2023
684,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2023
685,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POSYANDU,3680,UNIT,2023
686,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,5,UNIT,2023
687,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT KHUSUS,0,UNIT,2023
688,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT BERSALIN,0,UNIT,2023
689,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,47,UNIT,2023
690,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POSYANDU,2945,UNIT,2023
691,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT UMUM,11,UNIT,2023
692,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT KHUSUS,0,UNIT,2023
693,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2023
694,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2023
695,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POSYANDU,4350,UNIT,2023
696,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT UMUM,8,UNIT,2023
697,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT KHUSUS,0,UNIT,2023
698,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT BERSALIN,0,UNIT,2023
699,32,JAWA BARAT,3205,KABUPATEN GARUT,PUSKESMAS,67,UNIT,2023
700,32,JAWA BARAT,3205,KABUPATEN GARUT,POSYANDU,4334,UNIT,2023
701,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT UMUM,1,UNIT,2023
702,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT KHUSUS,1,UNIT,2023
703,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT BERSALIN,0,UNIT,2023
704,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUSKESMAS,40,UNIT,2023
705,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,POSYANDU,2392,UNIT,2023
706,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT UMUM,5,UNIT,2023
707,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT KHUSUS,1,UNIT,2023
708,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT BERSALIN,0,UNIT,2023
709,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PUSKESMAS,37,UNIT,2023
710,32,JAWA BARAT,3207,KABUPATEN CIAMIS,POSYANDU,1612,UNIT,2023
711,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH SAKIT UMUM,11,UNIT,2023
712,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH SAKIT KHUSUS,1,UNIT,2023
713,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH SAKIT BERSALIN,0,UNIT,2023
714,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PUSKESMAS,37,UNIT,2023
715,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,POSYANDU,1436,UNIT,2023
716,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH SAKIT UMUM,10,UNIT,2023
717,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH SAKIT KHUSUS,2,UNIT,2023
718,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH SAKIT BERSALIN,0,UNIT,2023
719,32,JAWA BARAT,3209,KABUPATEN CIREBON,PUSKESMAS,60,UNIT,2023
720,32,JAWA BARAT,3209,KABUPATEN CIREBON,POSYANDU,2706,UNIT,2023
721,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT UMUM,5,UNIT,2023
722,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT KHUSUS,1,UNIT,2023
723,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT BERSALIN,0,UNIT,2023
724,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUSKESMAS,32,UNIT,2023
725,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,POSYANDU,1503,UNIT,2023
726,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH SAKIT UMUM,3,UNIT,2023
727,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH SAKIT KHUSUS,0,UNIT,2023
728,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH SAKIT BERSALIN,0,UNIT,2023
729,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PUSKESMAS,35,UNIT,2023
730,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,POSYANDU,1713,UNIT,2023
731,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH SAKIT UMUM,11,UNIT,2023
732,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH SAKIT KHUSUS,1,UNIT,2023
733,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH SAKIT BERSALIN,0,UNIT,2023
734,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUSKESMAS,49,UNIT,2023
735,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,POSYANDU,2363,UNIT,2023
736,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT UMUM,10,UNIT,2023
737,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT KHUSUS,1,UNIT,2023
738,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT BERSALIN,0,UNIT,2023
739,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUSKESMAS,40,UNIT,2023
740,32,JAWA BARAT,3213,KABUPATEN SUBANG,POSYANDU,1925,UNIT,2023
741,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT UMUM,9,UNIT,2023
