id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.49,PERSEN,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53.21,PERSEN,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63.83,PERSEN,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66.67,PERSEN,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,54.68,PERSEN,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,51.33,PERSEN,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.38,PERSEN,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,83.03,PERSEN,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,89.02,PERSEN,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,82.67,PERSEN,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.55,PERSEN,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,95.9,PERSEN,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,89.4,PERSEN,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.33,PERSEN,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,83.02,PERSEN,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,91.54,PERSEN,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,56.93,PERSEN,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,86.91,PERSEN,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,74.36,PERSEN,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,44.76,PERSEN,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,56.01,PERSEN,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,93.27,PERSEN,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,98.52,PERSEN,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,97.43,PERSEN,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,76.37,PERSEN,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,56.25,PERSEN,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,89.06,PERSEN,2023
