id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1881,JIWA PER KILOMETER PERSEGI,2023
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,673,JIWA PER KILOMETER PERSEGI,2023
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,704,JIWA PER KILOMETER PERSEGI,2023
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2138,JIWA PER KILOMETER PERSEGI,2023
140,32,JAWA BARAT,3205,KABUPATEN GARUT,865,JIWA PER KILOMETER PERSEGI,2023
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,705,JIWA PER KILOMETER PERSEGI,2023
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,784,JIWA PER KILOMETER PERSEGI,2023
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1007,JIWA PER KILOMETER PERSEGI,2023
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2202,JIWA PER KILOMETER PERSEGI,2023
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1008,JIWA PER KILOMETER PERSEGI,2023
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,752,JIWA PER KILOMETER PERSEGI,2023
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,912,JIWA PER KILOMETER PERSEGI,2023
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,762,JIWA PER KILOMETER PERSEGI,2023
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1044,JIWA PER KILOMETER PERSEGI,2023
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1320,JIWA PER KILOMETER PERSEGI,2023
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,2588,JIWA PER KILOMETER PERSEGI,2023
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1449,JIWA PER KILOMETER PERSEGI,2023
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,382,JIWA PER KILOMETER PERSEGI,2023
154,32,JAWA BARAT,3271,KOTA BOGOR,9614,JIWA PER KILOMETER PERSEGI,2023
155,32,JAWA BARAT,3272,KOTA SUKABUMI,7465,JIWA PER KILOMETER PERSEGI,2023
156,32,JAWA BARAT,3273,KOTA BANDUNG,15047,JIWA PER KILOMETER PERSEGI,2023
157,32,JAWA BARAT,3274,KOTA CIREBON,8671,JIWA PER KILOMETER PERSEGI,2023
158,32,JAWA BARAT,3275,KOTA BEKASI,12332,JIWA PER KILOMETER PERSEGI,2023
159,32,JAWA BARAT,3276,KOTA DEPOK,10732,JIWA PER KILOMETER PERSEGI,2023
160,32,JAWA BARAT,3277,KOTA CIMAHI,13924,JIWA PER KILOMETER PERSEGI,2023
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4033,JIWA PER KILOMETER PERSEGI,2023
162,32,JAWA BARAT,3279,KOTA BANJAR,1584,JIWA PER KILOMETER PERSEGI,2023
