id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,224,ORANG,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69,ORANG,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57,ORANG,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,167,ORANG,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,180,ORANG,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,144,ORANG,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,114,ORANG,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,106,ORANG,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,124,ORANG,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,95,ORANG,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,101,ORANG,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,111,ORANG,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,68,ORANG,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,68,ORANG,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,96,ORANG,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,78,ORANG,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,86,ORANG,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,96,ORANG,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,106,ORANG,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,34,ORANG,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,293,ORANG,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,79,ORANG,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,122,ORANG,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,170,ORANG,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,49,ORANG,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,105,ORANG,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,76,ORANG,2023
