id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,91.9,PERSEN,2023
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,85.72,PERSEN,2023
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,85.65,PERSEN,2023
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,95.73,PERSEN,2023
140,32,JAWA BARAT,3205,KABUPATEN GARUT,81.13,PERSEN,2023
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,89.03,PERSEN,2023
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94.39,PERSEN,2023
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,96.57,PERSEN,2023
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,98.52,PERSEN,2023
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,93.38,PERSEN,2023
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,95.42,PERSEN,2023
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,97.77,PERSEN,2023
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,99.22,PERSEN,2023
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,85.4,PERSEN,2023
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,98.11,PERSEN,2023
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,96.95,PERSEN,2023
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,92.27,PERSEN,2023
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,82.95,PERSEN,2023
154,32,JAWA BARAT,3271,KOTA BOGOR,99.61,PERSEN,2023
155,32,JAWA BARAT,3272,KOTA SUKABUMI,98.74,PERSEN,2023
156,32,JAWA BARAT,3273,KOTA BANDUNG,97.67,PERSEN,2023
157,32,JAWA BARAT,3274,KOTA CIREBON,99.57,PERSEN,2023
158,32,JAWA BARAT,3275,KOTA BEKASI,98.77,PERSEN,2023
159,32,JAWA BARAT,3276,KOTA DEPOK,99.56,PERSEN,2023
160,32,JAWA BARAT,3277,KOTA CIMAHI,97.36,PERSEN,2023
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95.84,PERSEN,2023
162,32,JAWA BARAT,3279,KOTA BANJAR,94.34,PERSEN,2023
