id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,830,ORANG,2023
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,294,ORANG,2023
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,211,ORANG,2023
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,534,ORANG,2023
140,32,JAWA BARAT,3205,KABUPATEN GARUT,251,ORANG,2023
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,89,ORANG,2023
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,112,ORANG,2023
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165,ORANG,2023
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,364,ORANG,2023
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,259,ORANG,2023
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,123,ORANG,2023
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,573,ORANG,2023
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,351,ORANG,2023
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,189,ORANG,2023
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,534,ORANG,2023
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,826,ORANG,2023
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,186,ORANG,2023
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,54,ORANG,2023
154,32,JAWA BARAT,3271,KOTA BOGOR,438,ORANG,2023
155,32,JAWA BARAT,3272,KOTA SUKABUMI,215,ORANG,2023
156,32,JAWA BARAT,3273,KOTA BANDUNG,1059,ORANG,2023
157,32,JAWA BARAT,3274,KOTA CIREBON,312,ORANG,2023
158,32,JAWA BARAT,3275,KOTA BEKASI,857,ORANG,2023
159,32,JAWA BARAT,3276,KOTA DEPOK,467,ORANG,2023
160,32,JAWA BARAT,3277,KOTA CIMAHI,183,ORANG,2023
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,173,ORANG,2023
162,32,JAWA BARAT,3279,KOTA BANJAR,61,ORANG,2023
