id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
352,32,JAWA BARAT,3201,KABUPATEN BOGOR,5627.02,RIBU ORANG,2023
353,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2802.4,RIBU ORANG,2023
354,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2558.14,RIBU ORANG,2023
355,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3721.11,RIBU ORANG,2023
356,32,JAWA BARAT,3205,KABUPATEN GARUT,2683.67,RIBU ORANG,2023
357,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1907.05,RIBU ORANG,2023
358,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1251.54,RIBU ORANG,2023
359,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1201.76,RIBU ORANG,2023
360,32,JAWA BARAT,3209,KABUPATEN CIREBON,2360.44,RIBU ORANG,2023
361,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1340.62,RIBU ORANG,2023
362,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1178.24,RIBU ORANG,2023
363,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1894.33,RIBU ORANG,2023
364,32,JAWA BARAT,3213,KABUPATEN SUBANG,1649.82,RIBU ORANG,2023
365,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1037.07,RIBU ORANG,2023
366,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2526.0,RIBU ORANG,2023
367,32,JAWA BARAT,3216,KABUPATEN BEKASI,3237.42,RIBU ORANG,2023
368,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1859.64,RIBU ORANG,2023
369,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,431.46,RIBU ORANG,2023
370,32,JAWA BARAT,3271,KOTA BOGOR,1070.72,RIBU ORANG,2023
371,32,JAWA BARAT,3272,KOTA SUKABUMI,360.64,RIBU ORANG,2023
372,32,JAWA BARAT,3273,KOTA BANDUNG,2506.6,RIBU ORANG,2023
373,32,JAWA BARAT,3274,KOTA CIREBON,341.98,RIBU ORANG,2023
374,32,JAWA BARAT,3275,KOTA BEKASI,2627.21,RIBU ORANG,2023
375,32,JAWA BARAT,3276,KOTA DEPOK,2145.4,RIBU ORANG,2023
376,32,JAWA BARAT,3277,KOTA CIMAHI,590.78,RIBU ORANG,2023
377,32,JAWA BARAT,3278,KOTA TASIKMALAYA,741.76,RIBU ORANG,2023
378,32,JAWA BARAT,3279,KOTA BANJAR,207.51,RIBU ORANG,2023
