id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,475,ORANG,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,112,ORANG,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,179,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,77,ORANG,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,95,ORANG,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,91,ORANG,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,257,ORANG,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97,ORANG,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,104,ORANG,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,151,ORANG,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,339,ORANG,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,197,ORANG,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,255,ORANG,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,222,ORANG,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,36,ORANG,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,26,ORANG,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,443,ORANG,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,57,ORANG,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,357,ORANG,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,189,ORANG,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,335,ORANG,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,247,ORANG,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,44,ORANG,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,105,ORANG,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,47,ORANG,2019
