id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.65,POIN,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66.87,POIN,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65.38,POIN,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.41,POIN,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,66.22,POIN,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65.64,POIN,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.39,POIN,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,69.12,POIN,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,68.69,POIN,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67.52,POIN,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.46,POIN,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66.97,POIN,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,68.69,POIN,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.67,POIN,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.86,POIN,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.99,POIN,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,68.27,POIN,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.21,POIN,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,76.23,POIN,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,74.31,POIN,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,81.62,POIN,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,74.92,POIN,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,81.59,POIN,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,80.82,POIN,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,78.11,POIN,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.84,POIN,2019
270,32,JAWA BARAT,3279,KOTA BANJAR,71.75,POIN,2019
