id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,5965.4,RIBU ORANG,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2466.3,RIBU ORANG,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2263.1,RIBU ORANG,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3775.3,RIBU ORANG,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,2622.4,RIBU ORANG,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1754.1,RIBU ORANG,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1195.2,RIBU ORANG,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1080.8,RIBU ORANG,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,2192.9,RIBU ORANG,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1205.0,RIBU ORANG,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1152.4,RIBU ORANG,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1728.5,RIBU ORANG,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,1595.8,RIBU ORANG,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,962.9,RIBU ORANG,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2353.9,RIBU ORANG,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,3763.9,RIBU ORANG,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1699.9,RIBU ORANG,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,399.3,RIBU ORANG,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,1112.1,RIBU ORANG,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,328.7,RIBU ORANG,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,2507.9,RIBU ORANG,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,319.3,RIBU ORANG,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,3003.9,RIBU ORANG,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,2406.8,RIBU ORANG,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,614.3,RIBU ORANG,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,663.5,RIBU ORANG,2019
270,32,JAWA BARAT,3279,KOTA BANJAR,183.1,RIBU ORANG,2019
