id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,39.54,PERSEN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29.63,PERSEN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,29.53,PERSEN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,52.04,PERSEN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,24.71,PERSEN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30.27,PERSEN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,43.5,PERSEN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.31,PERSEN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,69.42,PERSEN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,71.38,PERSEN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,68.31,PERSEN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.94,PERSEN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,62.76,PERSEN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,63.35,PERSEN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,62.04,PERSEN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,61.97,PERSEN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,42.74,PERSEN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,51.54,PERSEN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,45.75,PERSEN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,32.2,PERSEN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,35.99,PERSEN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,70.82,PERSEN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,56.0,PERSEN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,46.41,PERSEN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,51.81,PERSEN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,40.8,PERSEN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,75.81,PERSEN,2019
