id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,91.02,PERSEN,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,79.57,PERSEN,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,81.5,PERSEN,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,97.84,PERSEN,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,84.17,PERSEN,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76.18,PERSEN,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82.8,PERSEN,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,94.26,PERSEN,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,95.55,PERSEN,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97.95,PERSEN,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,89.77,PERSEN,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,95.25,PERSEN,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,98.33,PERSEN,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,82.34,PERSEN,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95.84,PERSEN,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,96.07,PERSEN,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,92.17,PERSEN,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,83.65,PERSEN,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,98.75,PERSEN,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,97.6,PERSEN,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,98.55,PERSEN,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,99.79,PERSEN,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,99.26,PERSEN,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,99.01,PERSEN,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,98.05,PERSEN,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95.76,PERSEN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,95.67,PERSEN,2019
