id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
295,32,JAWA BARAT,3201,KABUPATEN BOGOR,10410.0,RIBU RUPIAH/ORANG/TAHUN,2021
296,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8850.0,RIBU RUPIAH/ORANG/TAHUN,2021
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8052.0,RIBU RUPIAH/ORANG/TAHUN,2021
298,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10307.0,RIBU RUPIAH/ORANG/TAHUN,2021
299,32,JAWA BARAT,3205,KABUPATEN GARUT,7961.0,RIBU RUPIAH/ORANG/TAHUN,2021
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7829.0,RIBU RUPIAH/ORANG/TAHUN,2021
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9259.0,RIBU RUPIAH/ORANG/TAHUN,2021
302,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9409.0,RIBU RUPIAH/ORANG/TAHUN,2021
303,32,JAWA BARAT,3209,KABUPATEN CIREBON,10368.0,RIBU RUPIAH/ORANG/TAHUN,2021
304,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9591.0,RIBU RUPIAH/ORANG/TAHUN,2021
305,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10262.0,RIBU RUPIAH/ORANG/TAHUN,2021
306,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9810.0,RIBU RUPIAH/ORANG/TAHUN,2021
307,32,JAWA BARAT,3213,KABUPATEN SUBANG,10854.0,RIBU RUPIAH/ORANG/TAHUN,2021
308,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11669.0,RIBU RUPIAH/ORANG/TAHUN,2021
309,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11522.0,RIBU RUPIAH/ORANG/TAHUN,2021
310,32,JAWA BARAT,3216,KABUPATEN BEKASI,11341.0,RIBU RUPIAH/ORANG/TAHUN,2021
311,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8546.0,RIBU RUPIAH/ORANG/TAHUN,2021
312,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9065.0,RIBU RUPIAH/ORANG/TAHUN,2021
313,32,JAWA BARAT,3271,KOTA BOGOR,11716.0,RIBU RUPIAH/ORANG/TAHUN,2021
314,32,JAWA BARAT,3272,KOTA SUKABUMI,10942.0,RIBU RUPIAH/ORANG/TAHUN,2021
315,32,JAWA BARAT,3273,KOTA BANDUNG,16996.0,RIBU RUPIAH/ORANG/TAHUN,2021
316,32,JAWA BARAT,3274,KOTA CIREBON,11810.0,RIBU RUPIAH/ORANG/TAHUN,2021
317,32,JAWA BARAT,3275,KOTA BEKASI,15903.0,RIBU RUPIAH/ORANG/TAHUN,2021
318,32,JAWA BARAT,3276,KOTA DEPOK,15420.0,RIBU RUPIAH/ORANG/TAHUN,2021
319,32,JAWA BARAT,3277,KOTA CIMAHI,12019.0,RIBU RUPIAH/ORANG/TAHUN,2021
320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10213.0,RIBU RUPIAH/ORANG/TAHUN,2021
321,32,JAWA BARAT,3279,KOTA BANJAR,10476.0,RIBU RUPIAH/ORANG/TAHUN,2021
