id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,63.91,PERSEN,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64.35,PERSEN,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58.52,PERSEN,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64.51,PERSEN,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,43.73,PERSEN,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,49.35,PERSEN,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,66.59,PERSEN,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.98,PERSEN,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,83.41,PERSEN,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,80.59,PERSEN,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,87.87,PERSEN,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,89.75,PERSEN,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,85.82,PERSEN,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,72.61,PERSEN,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,77.19,PERSEN,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.02,PERSEN,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,63.78,PERSEN,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,81.49,PERSEN,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,75.35,PERSEN,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,39.64,PERSEN,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,48.9,PERSEN,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,92.71,PERSEN,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,97.54,PERSEN,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,97.06,PERSEN,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,78.67,PERSEN,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52.62,PERSEN,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,81.92,PERSEN,2021
