id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
406,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,25,UNIT,2021
407,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT KHUSUS,4,UNIT,2021
408,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2021
409,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2021
410,32,JAWA BARAT,3201,KABUPATEN BOGOR,POSYANDU,5133,UNIT,2021
411,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,9,UNIT,2021
412,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2021
413,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2021
414,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2021
415,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POSYANDU,3503,UNIT,2021
416,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,5,UNIT,2021
417,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT KHUSUS,1,UNIT,2021
418,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT BERSALIN,0,UNIT,2021
419,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,47,UNIT,2021
420,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POSYANDU,2929,UNIT,2021
421,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT UMUM,10,UNIT,2021
422,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT KHUSUS,0,UNIT,2021
423,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2021
424,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2021
425,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POSYANDU,4308,UNIT,2021
426,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT UMUM,6,UNIT,2021
