id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,291,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,74,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,135,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,134,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,105,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,97,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,86,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,102,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,66,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,77,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,50,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,47,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,70,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,29,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,192,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,34,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,115,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,120,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,45,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,39,ORANG,2021
