id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,2025,JIWA PER KILOMETER PERSEGI,2021
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,666,JIWA PER KILOMETER PERSEGI,2021
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,653,JIWA PER KILOMETER PERSEGI,2021
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2074,JIWA PER KILOMETER PERSEGI,2021
86,32,JAWA BARAT,3205,KABUPATEN GARUT,847,JIWA PER KILOMETER PERSEGI,2021
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,738,JIWA PER KILOMETER PERSEGI,2021
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,875,JIWA PER KILOMETER PERSEGI,2021
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1063,JIWA PER KILOMETER PERSEGI,2021
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2327,JIWA PER KILOMETER PERSEGI,2021
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1095,JIWA PER KILOMETER PERSEGI,2021
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,764,JIWA PER KILOMETER PERSEGI,2021
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,907,JIWA PER KILOMETER PERSEGI,2021
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,849,JIWA PER KILOMETER PERSEGI,2021
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1225,JIWA PER KILOMETER PERSEGI,2021
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1494,JIWA PER KILOMETER PERSEGI,2021
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2578,JIWA PER KILOMETER PERSEGI,2021
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1389,JIWA PER KILOMETER PERSEGI,2021
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,423,JIWA PER KILOMETER PERSEGI,2021
100,32,JAWA BARAT,3271,KOTA BOGOR,8881,JIWA PER KILOMETER PERSEGI,2021
101,32,JAWA BARAT,3272,KOTA SUKABUMI,7271,JIWA PER KILOMETER PERSEGI,2021
102,32,JAWA BARAT,3273,KOTA BANDUNG,14630,JIWA PER KILOMETER PERSEGI,2021
103,32,JAWA BARAT,3274,KOTA CIREBON,9017,JIWA PER KILOMETER PERSEGI,2021
104,32,JAWA BARAT,3275,KOTA BEKASI,12414,JIWA PER KILOMETER PERSEGI,2021
105,32,JAWA BARAT,3276,KOTA DEPOK,10415,JIWA PER KILOMETER PERSEGI,2021
106,32,JAWA BARAT,3277,KOTA CIMAHI,14556,JIWA PER KILOMETER PERSEGI,2021
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4218,JIWA PER KILOMETER PERSEGI,2021
108,32,JAWA BARAT,3279,KOTA BANJAR,1792,JIWA PER KILOMETER PERSEGI,2021
