id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
379,32,JAWA BARAT,3201,KABUPATEN BOGOR,5682.3,RIBU ORANG,2024
380,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2828.02,RIBU ORANG,2024
381,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2584.99,RIBU ORANG,2024
382,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3753.12,RIBU ORANG,2024
383,32,JAWA BARAT,3205,KABUPATEN GARUT,2716.95,RIBU ORANG,2024
384,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1920.92,RIBU ORANG,2024
385,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1259.23,RIBU ORANG,2024
386,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1213.93,RIBU ORANG,2024
387,32,JAWA BARAT,3209,KABUPATEN CIREBON,2387.96,RIBU ORANG,2024
388,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1352.54,RIBU ORANG,2024
389,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1187.13,RIBU ORANG,2024
390,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1914.04,RIBU ORANG,2024
391,32,JAWA BARAT,3213,KABUPATEN SUBANG,1663.16,RIBU ORANG,2024
392,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1050.34,RIBU ORANG,2024
393,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2554.38,RIBU ORANG,2024
394,32,JAWA BARAT,3216,KABUPATEN BEKASI,3273.87,RIBU ORANG,2024
395,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1884.19,RIBU ORANG,2024
396,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,434.1,RIBU ORANG,2024
397,32,JAWA BARAT,3271,KOTA BOGOR,1078.35,RIBU ORANG,2024
398,32,JAWA BARAT,3272,KOTA SUKABUMI,365.74,RIBU ORANG,2024
399,32,JAWA BARAT,3273,KOTA BANDUNG,2528.16,RIBU ORANG,2024
400,32,JAWA BARAT,3274,KOTA CIREBON,344.85,RIBU ORANG,2024
401,32,JAWA BARAT,3275,KOTA BEKASI,2644.06,RIBU ORANG,2024
402,32,JAWA BARAT,3276,KOTA DEPOK,2163.64,RIBU ORANG,2024
403,32,JAWA BARAT,3277,KOTA CIMAHI,598.7,RIBU ORANG,2024
404,32,JAWA BARAT,3278,KOTA TASIKMALAYA,750.73,RIBU ORANG,2024
405,32,JAWA BARAT,3279,KOTA BANJAR,209.79,RIBU ORANG,2024
