id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,301,ORANG,2024
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,83,ORANG,2024
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,87,ORANG,2024
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,183,ORANG,2024
221,32,JAWA BARAT,3205,KABUPATEN GARUT,221,ORANG,2024
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,164,ORANG,2024
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120,ORANG,2024
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,108,ORANG,2024
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,163,ORANG,2024
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,115,ORANG,2024
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,118,ORANG,2024
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,139,ORANG,2024
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,118,ORANG,2024
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,83,ORANG,2024
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,124,ORANG,2024
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,100,ORANG,2024
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,88,ORANG,2024
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,122,ORANG,2024
235,32,JAWA BARAT,3271,KOTA BOGOR,185,ORANG,2024
236,32,JAWA BARAT,3272,KOTA SUKABUMI,31,ORANG,2024
237,32,JAWA BARAT,3273,KOTA BANDUNG,310,ORANG,2024
238,32,JAWA BARAT,3274,KOTA CIREBON,104,ORANG,2024
239,32,JAWA BARAT,3275,KOTA BEKASI,135,ORANG,2024
240,32,JAWA BARAT,3276,KOTA DEPOK,184,ORANG,2024
241,32,JAWA BARAT,3277,KOTA CIMAHI,60,ORANG,2024
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,110,ORANG,2024
243,32,JAWA BARAT,3279,KOTA BANJAR,80,ORANG,2024
