id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
379,32,JAWA BARAT,3201,KABUPATEN BOGOR,72.39,POIN,2024
380,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68.97,POIN,2024
381,32,JAWA BARAT,3203,KABUPATEN CIANJUR,67.24,POIN,2024
382,32,JAWA BARAT,3204,KABUPATEN BANDUNG,74.27,POIN,2024
383,32,JAWA BARAT,3205,KABUPATEN GARUT,68.79,POIN,2024
384,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.36,POIN,2024
385,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72.56,POIN,2024
386,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,71.26,POIN,2024
387,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.44,POIN,2024
388,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.74,POIN,2024
389,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73.73,POIN,2024
390,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69.83,POIN,2024
391,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.36,POIN,2024
392,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,72.65,POIN,2024
393,32,JAWA BARAT,3215,KABUPATEN KARAWANG,72.9,POIN,2024
394,32,JAWA BARAT,3216,KABUPATEN BEKASI,76.44,POIN,2024
395,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,70.03,POIN,2024
396,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.85,POIN,2024
397,32,JAWA BARAT,3271,KOTA BOGOR,78.52,POIN,2024
398,32,JAWA BARAT,3272,KOTA SUKABUMI,76.85,POIN,2024
399,32,JAWA BARAT,3273,KOTA BANDUNG,83.52,POIN,2024
400,32,JAWA BARAT,3274,KOTA CIREBON,77.08,POIN,2024
401,32,JAWA BARAT,3275,KOTA BEKASI,83.54,POIN,2024
402,32,JAWA BARAT,3276,KOTA DEPOK,82.91,POIN,2024
403,32,JAWA BARAT,3277,KOTA CIMAHI,80.08,POIN,2024
404,32,JAWA BARAT,3278,KOTA TASIKMALAYA,75.04,POIN,2024
405,32,JAWA BARAT,3279,KOTA BANJAR,73.64,POIN,2024
