id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,93.93,PERSEN,2024
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,89.3,PERSEN,2024
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,91.62,PERSEN,2024
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,96.28,PERSEN,2024
167,32,JAWA BARAT,3205,KABUPATEN GARUT,85.37,PERSEN,2024
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86.78,PERSEN,2024
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,96.42,PERSEN,2024
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,97.92,PERSEN,2024
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,97.12,PERSEN,2024
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,94.38,PERSEN,2024
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,96.23,PERSEN,2024
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,97.39,PERSEN,2024
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,98.69,PERSEN,2024
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91.02,PERSEN,2024
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,97.23,PERSEN,2024
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,96.76,PERSEN,2024
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,89.25,PERSEN,2024
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,88.36,PERSEN,2024
181,32,JAWA BARAT,3271,KOTA BOGOR,99.11,PERSEN,2024
182,32,JAWA BARAT,3272,KOTA SUKABUMI,99.46,PERSEN,2024
183,32,JAWA BARAT,3273,KOTA BANDUNG,97.62,PERSEN,2024
184,32,JAWA BARAT,3274,KOTA CIREBON,98.23,PERSEN,2024
185,32,JAWA BARAT,3275,KOTA BEKASI,98.89,PERSEN,2024
186,32,JAWA BARAT,3276,KOTA DEPOK,99.85,PERSEN,2024
187,32,JAWA BARAT,3277,KOTA CIMAHI,99.6,PERSEN,2024
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,93.79,PERSEN,2024
189,32,JAWA BARAT,3279,KOTA BANJAR,96.97,PERSEN,2024
