id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,67.18,PERSEN,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51.9,PERSEN,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63.3,PERSEN,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,69.12,PERSEN,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,49.99,PERSEN,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,54.68,PERSEN,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.12,PERSEN,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,84.64,PERSEN,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,87.92,PERSEN,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,83.61,PERSEN,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,77.32,PERSEN,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,97.27,PERSEN,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,90.29,PERSEN,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,83.01,PERSEN,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,85.99,PERSEN,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,89.16,PERSEN,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,54.02,PERSEN,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,90.3,PERSEN,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,71.49,PERSEN,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,45.88,PERSEN,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,55.9,PERSEN,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,95.38,PERSEN,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,99.08,PERSEN,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,98.76,PERSEN,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,76.44,PERSEN,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53.16,PERSEN,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,91.07,PERSEN,2024
