id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1899,JIWA PER KILOMETER PERSEGI,2024
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,679,JIWA PER KILOMETER PERSEGI,2024
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,712,JIWA PER KILOMETER PERSEGI,2024
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2156,JIWA PER KILOMETER PERSEGI,2024
167,32,JAWA BARAT,3205,KABUPATEN GARUT,876,JIWA PER KILOMETER PERSEGI,2024
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,710,JIWA PER KILOMETER PERSEGI,2024
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,789,JIWA PER KILOMETER PERSEGI,2024
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1018,JIWA PER KILOMETER PERSEGI,2024
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,2228,JIWA PER KILOMETER PERSEGI,2024
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1017,JIWA PER KILOMETER PERSEGI,2024
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,758,JIWA PER KILOMETER PERSEGI,2024
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,922,JIWA PER KILOMETER PERSEGI,2024
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,768,JIWA PER KILOMETER PERSEGI,2024
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1058,JIWA PER KILOMETER PERSEGI,2024
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1335,JIWA PER KILOMETER PERSEGI,2024
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,2617,JIWA PER KILOMETER PERSEGI,2024
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1468,JIWA PER KILOMETER PERSEGI,2024
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,385,JIWA PER KILOMETER PERSEGI,2024
181,32,JAWA BARAT,3271,KOTA BOGOR,9683,JIWA PER KILOMETER PERSEGI,2024
182,32,JAWA BARAT,3272,KOTA SUKABUMI,7571,JIWA PER KILOMETER PERSEGI,2024
183,32,JAWA BARAT,3273,KOTA BANDUNG,15176,JIWA PER KILOMETER PERSEGI,2024
184,32,JAWA BARAT,3274,KOTA CIREBON,8744,JIWA PER KILOMETER PERSEGI,2024
185,32,JAWA BARAT,3275,KOTA BEKASI,12411,JIWA PER KILOMETER PERSEGI,2024
186,32,JAWA BARAT,3276,KOTA DEPOK,10823,JIWA PER KILOMETER PERSEGI,2024
187,32,JAWA BARAT,3277,KOTA CIMAHI,14110,JIWA PER KILOMETER PERSEGI,2024
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4081,JIWA PER KILOMETER PERSEGI,2024
189,32,JAWA BARAT,3279,KOTA BANJAR,1601,JIWA PER KILOMETER PERSEGI,2024
