id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
376,32,JAWA BARAT,3201,KABUPATEN BOGOR,11563.0,RIBU RUPIAH/ORANG/TAHUN,2024
377,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9815.0,RIBU RUPIAH/ORANG/TAHUN,2024
378,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9026.0,RIBU RUPIAH/ORANG/TAHUN,2024
379,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11392.0,RIBU RUPIAH/ORANG/TAHUN,2024
380,32,JAWA BARAT,3205,KABUPATEN GARUT,9168.0,RIBU RUPIAH/ORANG/TAHUN,2024
381,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8965.0,RIBU RUPIAH/ORANG/TAHUN,2024
382,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10085.0,RIBU RUPIAH/ORANG/TAHUN,2024
383,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10418.0,RIBU RUPIAH/ORANG/TAHUN,2024
384,32,JAWA BARAT,3209,KABUPATEN CIREBON,11529.0,RIBU RUPIAH/ORANG/TAHUN,2024
385,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10842.0,RIBU RUPIAH/ORANG/TAHUN,2024
386,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11589.0,RIBU RUPIAH/ORANG/TAHUN,2024
387,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11010.0,RIBU RUPIAH/ORANG/TAHUN,2024
388,32,JAWA BARAT,3213,KABUPATEN SUBANG,11894.0,RIBU RUPIAH/ORANG/TAHUN,2024
389,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13099.0,RIBU RUPIAH/ORANG/TAHUN,2024
390,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12942.0,RIBU RUPIAH/ORANG/TAHUN,2024
391,32,JAWA BARAT,3216,KABUPATEN BEKASI,12500.0,RIBU RUPIAH/ORANG/TAHUN,2024
392,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9583.0,RIBU RUPIAH/ORANG/TAHUN,2024
393,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9654.0,RIBU RUPIAH/ORANG/TAHUN,2024
394,32,JAWA BARAT,3271,KOTA BOGOR,13154.0,RIBU RUPIAH/ORANG/TAHUN,2024
395,32,JAWA BARAT,3272,KOTA SUKABUMI,12252.0,RIBU RUPIAH/ORANG/TAHUN,2024
396,32,JAWA BARAT,3273,KOTA BANDUNG,18795.0,RIBU RUPIAH/ORANG/TAHUN,2024
397,32,JAWA BARAT,3274,KOTA CIREBON,12869.0,RIBU RUPIAH/ORANG/TAHUN,2024
398,32,JAWA BARAT,3275,KOTA BEKASI,16775.0,RIBU RUPIAH/ORANG/TAHUN,2024
399,32,JAWA BARAT,3276,KOTA DEPOK,16640.0,RIBU RUPIAH/ORANG/TAHUN,2024
400,32,JAWA BARAT,3277,KOTA CIMAHI,13278.0,RIBU RUPIAH/ORANG/TAHUN,2024
401,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11431.0,RIBU RUPIAH/ORANG/TAHUN,2024
402,32,JAWA BARAT,3279,KOTA BANJAR,11811.0,RIBU RUPIAH/ORANG/TAHUN,2024
