id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
869,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUSKESMAS,49,UNIT,2024
870,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,POSYANDU,2366,UNIT,2024
871,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT UMUM,10,UNIT,2024
872,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT KHUSUS,1,UNIT,2024
873,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT BERSALIN,0,UNIT,2024
874,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUSKESMAS,40,UNIT,2024
875,32,JAWA BARAT,3213,KABUPATEN SUBANG,POSYANDU,1928,UNIT,2024
876,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT UMUM,9,UNIT,2024
877,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT KHUSUS,2,UNIT,2024
878,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT BERSALIN,0,UNIT,2024
879,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PUSKESMAS,20,UNIT,2024
880,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,POSYANDU,1062,UNIT,2024
881,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH SAKIT UMUM,25,UNIT,2024
882,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH SAKIT KHUSUS,1,UNIT,2024
883,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH SAKIT BERSALIN,0,UNIT,2024
884,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUSKESMAS,50,UNIT,2024
885,32,JAWA BARAT,3215,KABUPATEN KARAWANG,POSYANDU,2388,UNIT,2024
886,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH SAKIT UMUM,51,UNIT,2024
887,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH SAKIT KHUSUS,4,UNIT,2024
888,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH SAKIT BERSALIN,0,UNIT,2024
889,32,JAWA BARAT,3216,KABUPATEN BEKASI,PUSKESMAS,51,UNIT,2024
890,32,JAWA BARAT,3216,KABUPATEN BEKASI,POSYANDU,2952,UNIT,2024
891,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH SAKIT UMUM,6,UNIT,2024
892,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH SAKIT KHUSUS,6,UNIT,2024
893,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH SAKIT BERSALIN,0,UNIT,2024
894,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PUSKESMAS,32,UNIT,2024
895,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,POSYANDU,2343,UNIT,2024
896,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH SAKIT UMUM,1,UNIT,2024
897,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH SAKIT KHUSUS,0,UNIT,2024
898,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH SAKIT BERSALIN,0,UNIT,2024
899,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PUSKESMAS,15,UNIT,2024
900,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,POSYANDU,531,UNIT,2024
901,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH SAKIT UMUM,18,UNIT,2024
902,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH SAKIT KHUSUS,4,UNIT,2024
903,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2024
904,32,JAWA BARAT,3271,KOTA BOGOR,PUSKESMAS,25,UNIT,2024
905,32,JAWA BARAT,3271,KOTA BOGOR,POSYANDU,983,UNIT,2024
906,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH SAKIT UMUM,6,UNIT,2024
907,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2024
