id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,46.7,PERSEN,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,32.83,PERSEN,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38.29,PERSEN,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,54.16,PERSEN,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,34.61,PERSEN,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37.62,PERSEN,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,67.22,PERSEN,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,77.55,PERSEN,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,80.39,PERSEN,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.36,PERSEN,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,69.0,PERSEN,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,85.78,PERSEN,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,83.27,PERSEN,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,66.51,PERSEN,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.98,PERSEN,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,63.8,PERSEN,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,38.87,PERSEN,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,61.91,PERSEN,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,49.53,PERSEN,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,36.3,PERSEN,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,41.97,PERSEN,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,74.31,PERSEN,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,65.82,PERSEN,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,49.39,PERSEN,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,54.86,PERSEN,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45.01,PERSEN,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,83.51,PERSEN,2024
